surah,verse,verse_id,translation,component_probability_00,component_probability_01,component_probability_02,component_probability_03,component_probability_04,component_probability_05,component_probability_06,component_probability_07,component_probability_08,component_probability_09,component_probability_10,component_probability_11,component_probability_12,component_probability_13,component_probability_14,component_probability_15,component_probability_16,component_probability_17,component_probability_18,component_probability_19,component_probability_20,component_probability_21,component_probability_22,component_probability_23,dominant_membership,membership_entropy
1,1,1:1,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",1.4843067e-06,0.00021490543,1.3802712e-09,0.000112963295,3.752903e-06,3.05874e-09,0.0,6.825515e-11,0.80870706,5.5839214e-06,1.0907985e-08,0.00063753425,6.8204275e-07,5.290584e-06,2.2270951e-21,3.8943413e-06,1.1588176e-07,1.2917037e-08,0.14957638,1.038127e-08,4.5556715e-07,8.217149e-09,0.04072689,9.674235e-08,8,0.5940524696731204
1,2,1:2,"[All] praise is [due] to Allah, Lord of the worlds -",4.3063117e-10,1.7532894e-06,4.6088924e-09,1.0645765e-06,0.006046888,2.824342e-10,0.0,2.1857033e-13,0.9910188,1.2672814e-07,5.790892e-08,2.8339311e-06,7.5957487e-06,2.7398308e-08,4.977124e-27,5.195563e-06,2.0475324e-10,9.273064e-11,0.0029078436,2.6308095e-10,4.6820332e-06,1.9845905e-09,1.9385539e-06,6.195411e-11,8,0.057125767204069554
1,3,1:3,"The Entirely Merciful, the Especially Merciful,",8.361691e-08,0.055281077,6.381322e-06,0.020310411,0.0010309825,2.0104818e-10,0.0,3.5133703e-09,1.5710383e-07,6.2618266e-09,1.8793505e-11,8.949642e-05,1.7179645e-10,8.625719e-05,7.772076e-07,3.814284e-07,4.9120235e-08,1.1217835e-11,0.8804457,9.683307e-10,3.1227114e-09,2.6469865e-10,0.042742353,2.9889718e-06,18,0.49491881954353556
1,4,1:4,Sovereign of the Day of Recompense.,2.0811563e-11,0.21623547,3.1879787e-05,0.46801877,4.883198e-07,2.3606297e-08,0.0,1.5973274e-12,7.0108266e-09,4.2577816e-10,9.261676e-12,0.23294273,5.496862e-16,0.00012656214,8.6856346e-08,3.6522877e-06,2.3390447e-08,5.638296e-11,0.08262914,1.8253808e-13,1.2234524e-05,1.029835e-10,5.4011213e-09,4.028894e-11,3,1.233557444943249
1,5,1:5,It is You we worship and You we ask for help.,2.5076488e-08,0.0045533176,3.001436e-07,2.9126033e-05,1.6338278e-06,1.3026593e-08,0.0,1.0812042e-15,0.000100974976,8.117629e-11,0.00013222879,1.0569396e-08,5.0179214e-12,7.4715556e-10,2.062754e-13,6.170513e-08,6.947523e-07,4.9336146e-10,0.9951822,9.711688e-16,5.4161653e-08,3.9809708e-10,9.87128e-10,4.858847e-11,18,0.03181033200209544
1,6,1:6,Guide us to the straight path -,9.692251e-10,0.9944763,1.6000193e-09,5.487008e-11,3.8511162e-13,1.0422209e-10,0.0,2.2803283e-12,9.954092e-10,6.1489295e-12,4.4576296e-08,1.0487271e-07,3.8849133e-09,5.4825307e-11,0.00017907999,8.681564e-07,1.5767576e-10,4.0698597e-11,0.005341105,2.4606323e-13,4.0365417e-10,1.5594158e-11,3.11598e-14,3.4211268e-13,1,0.03501455214602623
1,7,1:7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",1.8065577e-07,0.0448798,1.8011965e-08,3.868388e-05,2.689901e-10,2.1760178e-07,0.0,7.5986172e-06,4.5945058e-06,1.03259644e-10,3.202414e-10,4.2246057e-07,4.1191438e-08,1.2138653e-07,1.2313451e-07,3.8173155e-05,3.023526e-05,1.04831215e-05,0.954986,4.685324e-12,2.7777055e-08,1.098367e-11,1.527205e-07,2.2836909e-10,18,0.18466422450510458
2,1,2:1,"Alif, Lam, Meem.",7.804698e-07,0.97564334,9.3072416e-08,0.00045359271,1.3134559e-10,3.3286916e-08,0.0,1.327287e-10,0.0027249118,4.8442523e-08,7.20029e-07,6.73678e-06,0.0071725072,1.3627207e-06,1.7528798e-08,2.7499798e-06,5.8770447e-06,7.682308e-10,0.013983643,2.603751e-11,3.8241032e-07,3.215645e-11,3.31566e-10,3.6875787e-07,1,0.13900365789406505
2,2,2:2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",2.6772777e-11,1.1962152e-12,6.586946e-15,1.7850595e-09,4.945124e-11,8.692664e-15,0.0,1.596553e-13,5.918667e-06,7.652033e-11,9.778614e-14,1.6764404e-10,0.9999923,2.350963e-13,7.13e-42,2.8586486e-10,3.2636402e-13,2.3859016e-12,6.797896e-10,9.2383984e-17,6.143939e-11,6.851186e-18,8.342232e-14,1.5895403e-13,12,7.900016959123836e-05
2,3,2:3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",6.9844846e-15,0.00020865613,4.6416376e-10,0.9986657,5.285018e-13,7.86774e-15,0.0,1.0858751e-22,5.634929e-08,5.6788094e-12,9.538815e-11,1.4580446e-11,1.6579665e-16,5.0991926e-14,1.5487705e-16,2.599897e-06,7.2457556e-14,3.8559796e-14,0.0010541118,3.9921633e-10,6.683567e-05,2.7968941e-18,2.6206088e-13,8.580714e-15,3,0.011004645327710278
2,4,2:4,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].",2.1256417e-08,1.7471468e-06,2.2503236e-06,0.0061445967,0.00015291544,1.6237722e-09,0.0,2.5559895e-13,0.3437592,4.257788e-07,3.1614274e-08,8.8727063e-07,0.45676053,9.698595e-06,7.6720054e-31,0.19296166,1.11739105e-07,4.524525e-10,0.00019010027,3.937343e-08,1.2132907e-08,1.0652476e-12,1.3133892e-05,4.174689e-06,12,1.0771070208578064
2,5,2:5,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",4.051241e-11,0.0025725046,1.6766668e-07,0.08025817,1.4603506e-09,9.8815615e-11,0.0,1.2183191e-14,1.0012762e-05,1.5813251e-08,1.3129922e-07,1.9929974e-08,1.6278576e-11,9.473036e-11,9.125603e-12,1.8160179e-06,1.0482791e-07,6.014501e-09,0.9171511,1.6966711e-06,4.212586e-06,2.3669912e-12,2.522366e-08,1.1730068e-12,18,0.29733088197311247
2,6,2:6,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe.",8.5191854e-11,1.6576706e-07,9.115578e-13,1.2299269e-08,1.8984524e-11,2.4275094e-11,0.0,2.4837582e-19,7.2588155e-06,5.7686366e-11,1.9834533e-11,4.382625e-11,5.0262115e-14,3.1995614e-07,7.9944514e-28,0.9999466,3.2002246e-12,1.8680279e-12,3.1270447e-05,6.707777e-06,4.8556363e-13,8.02606e-10,6.380186e-11,6.224113e-06,15,0.0006257984857626881
2,7,2:7,"Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment.",6.0369937e-05,2.3889324e-06,1.7010707e-07,0.00012938073,3.0637412e-07,1.303354e-10,0.0,3.7898687e-10,0.99390745,6.2922496e-05,1.3398376e-09,4.0175448e-07,1.12865344e-07,0.0055871904,4.322328e-31,1.8768775e-05,2.3962864e-08,1.0247259e-08,0.00022462521,3.2066744e-06,1.5836983e-07,1.1312671e-12,1.5704134e-09,8.699068e-07,8,0.03960287804836154
2,8,2:8,"And of the people are some who say, ""We believe in Allah and the Last Day,"" but they are not believers.",2.9691499e-08,5.771072e-06,3.3651952e-07,0.21482788,7.3096864e-08,5.7747796e-11,0.0,1.4304859e-13,0.36416817,4.9309636e-09,1.5693065e-08,0.10510453,1.7805787e-08,7.9203494e-07,1.9416523e-31,0.31574133,4.393766e-07,1.9679289e-10,0.00013592231,6.321498e-07,3.6613828e-06,1.4088456e-13,2.6537657e-06,4.56136e-06,8,1.3004743258001392
