audit_type,component,rank,verse_id,surah,verse,probability,translation
top_posterior,0,1,56:6,56,6,1.0,And become dust dispersing.
top_posterior,0,2,56:30,56,30,1.0,And shade extended
top_posterior,0,3,51:1,51,1,1.0,By those [winds] scattering [dust] dispersing
top_posterior,0,4,51:3,51,3,0.9999923,And those [ships] sailing with ease
top_posterior,0,5,80:25,80,25,0.9999923,"How We poured down water in torrents,"
top_posterior,0,6,17:35,17,35,0.9999923,"And give full measure when you measure, and weigh with an even balance. That is the best [way] and best in result."
top_posterior,0,7,79:3,79,3,0.9999923,And [by] those who glide [as if] swimming
top_posterior,0,8,77:3,77,3,0.9999923,And [by] the winds that spread [clouds]
top_posterior,0,9,56:1,56,1,0.99998474,"When the Occurrence occurs,"
top_posterior,0,10,69:13,69,13,0.99998474,Then when the Horn is blown with one blast
core_probability_ge_0.8,0,1,56:6,56,6,1.0,And become dust dispersing.
core_probability_ge_0.8,0,2,56:30,56,30,1.0,And shade extended
core_probability_ge_0.8,0,3,51:1,51,1,1.0,By those [winds] scattering [dust] dispersing
core_probability_ge_0.8,0,4,51:3,51,3,0.9999923,And those [ships] sailing with ease
core_probability_ge_0.8,0,5,80:25,80,25,0.9999923,"How We poured down water in torrents,"
core_probability_ge_0.8,0,6,17:35,17,35,0.9999923,"And give full measure when you measure, and weigh with an even balance. That is the best [way] and best in result."
core_probability_ge_0.8,0,7,79:3,79,3,0.9999923,And [by] those who glide [as if] swimming
core_probability_ge_0.8,0,8,77:3,77,3,0.9999923,And [by] the winds that spread [clouds]
core_probability_ge_0.8,0,9,56:1,56,1,0.99998474,"When the Occurrence occurs,"
core_probability_ge_0.8,0,10,69:13,69,13,0.99998474,Then when the Horn is blown with one blast
top_posterior,1,1,2:6,2,6,0.9999962,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe."
top_posterior,1,2,2:171,2,171,0.9999923,"The example of those who disbelieve is like that of one who shouts at what hears nothing but calls and cries cattle or sheep - deaf, dumb and blind, so they do not understand."
top_posterior,1,3,10:96,10,96,0.999958,"Indeed, those upon whom the word of your Lord has come into effect will not believe,"
top_posterior,1,4,46:7,46,7,0.999939,"And when Our verses are recited to them as clear evidences, those who disbelieve say of the truth when it has come to them, ""This is obvious magic."""
top_posterior,1,5,44:34,44,34,0.99993515,"Indeed, these [disbelievers] are saying,"
top_posterior,1,6,34:43,34,43,0.99992365,"And when our verses are recited to them as clear evidences, they say, ""This is not but a man who wishes to avert you from that which your fathers were worshipping."" And they say, ""This is not except a lie invented."" And those who disbelieve say of the truth when it has come to them, ""This is not but obvious magic."""
top_posterior,1,7,98:1,98,1,0.9999047,Those who disbelieved among the People of the Scripture and the polytheists were not to be parted [from misbelief] until there came to them clear evidence -
top_posterior,1,8,40:50,40,50,0.9998017,"They will say, ""Did there not come to you your messengers with clear proofs?"" They will say, ""Yes."" They will reply, ""Then supplicate [yourselves], but the supplication of the disbelievers is not except in error."""
top_posterior,1,9,16:105,16,105,0.99977875,"They only invent falsehood who do not believe in the verses of Allah, and it is those who are the liars."
top_posterior,1,10,84:22,84,22,0.9997635,"But those who have disbelieved deny,"
core_probability_ge_0.8,1,1,2:6,2,6,0.9999962,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe."
