surah,verse,verse_id,translation,component_probability_00,component_probability_01,component_probability_02,component_probability_03,component_probability_04,component_probability_05,component_probability_06,component_probability_07,dominant_membership,membership_entropy
1,1,1:1,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",3.5402785e-16,1.4781801e-08,0.54318476,0.0,3.919559e-06,1.0309681e-08,0.4033189,0.053489983,2,0.8544154038725034
1,2,1:2,"[All] praise is [due] to Allah, Lord of the worlds -",2.9902836e-21,4.581984e-09,0.9858042,0.0,1.0187402e-06,8.852678e-10,0.01337274,0.0008225543,2,0.07764858377080969
1,3,1:3,"The Entirely Merciful, the Especially Merciful,",1.12213775e-05,2.7138128e-10,3.2973237e-08,0.0,3.5342327e-09,4.202562e-10,0.8993673,0.10062176,6,0.32658532953390207
1,4,1:4,Sovereign of the Day of Recompense.,5.6811608e-08,2.7269298e-10,1.2575186e-09,0.0,0.00059953897,3.24769e-08,0.24116553,0.7582334,7,0.5573043546119335
1,5,1:5,It is You we worship and You we ask for help.,5.889665e-11,1.8122296e-09,0.00044895854,0.0,1.3473527e-07,2.2252766e-07,0.28522894,0.7143188,7,0.6015909471639588
1,6,1:6,Guide us to the straight path -,0.00019362869,2.9409877e-10,1.5692876e-09,0.0,8.32353e-09,1.1668008e-09,0.000702892,0.99910015,7,0.007658317209744234
1,7,1:7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",2.8946817e-05,5.1100464e-11,6.7808687e-06,0.0,2.2635712e-08,2.4390067e-06,0.50833976,0.4916259,6,0.6934331459078826
2,1,2:1,"Alif, Lam, Meem.",2.0649965e-07,2.1229159e-11,0.0008541669,0.0,1.9939882e-06,2.991273e-08,0.00031679406,0.9988257,7,0.009790959572308841
2,2,2:2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",4.0594224e-27,3.121407e-13,0.9997826,0.0,5.7292175e-07,1.8542503e-09,9.1955946e-05,0.00012660318,2,0.002216477490559724
2,3,2:3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",2.9707882e-11,2.103741e-15,8.1026184e-05,0.0,0.0016870253,3.5833294e-12,0.17345604,0.824777,7,0.47428718842064477
2,4,2:4,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].",6.874097e-24,3.637439e-13,0.9971393,0.0,6.738999e-11,8.375474e-10,0.0025167498,0.0003440263,2,0.02066239803806587
2,5,2:5,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",5.9545724e-10,6.003879e-12,6.4671917e-06,0.0,8.822557e-06,5.432506e-10,0.93939155,0.06059221,6,0.228789112467836
2,6,2:6,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe.",3.3652148e-18,8.3782675e-07,0.25368977,0.0,1.5261237e-12,8.994223e-08,0.7030888,0.043223426,6,0.7314444417321717
2,7,2:7,"Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment.",1.2796933e-22,9.158241e-13,0.9971317,0.0,2.7425614e-07,4.4545828e-10,0.0006065714,0.002259643,2,0.021128607017108496
2,8,2:8,"And of the people are some who say, ""We believe in Allah and the Last Day,"" but they are not believers.",1.7416886e-23,9.434182e-14,0.99366486,0.0,4.505979e-08,7.9978774e-11,0.0033632515,0.0029688287,2,0.04274635565467953
2,9,2:9,"They [think to] deceive Allah and those who believe, but they deceive not except themselves and perceive [it] not.",6.1352743e-18,1.128768e-10,0.9036177,0.0,1.5748716e-08,3.120391e-08,0.0006037251,0.09578056,2,0.32072858578761587
2,10,2:10,"In their hearts is disease, so Allah has increased their disease; and for them is a painful punishment because they [habitually] used to lie.",3.8804836e-17,2.1774417e-11,0.9348443,0.0,1.1356278e-08,3.2123243e-10,0.0003975489,0.06475993,2,0.2433508406586544
2,11,2:11,"And when it is said to them, ""Do not cause corruption on the earth,"" they say, ""We are but reformers.""",1.1464885e-07,1.916484e-10,1.8544795e-06,0.0,2.8956976e-05,1.2930995e-07,0.111708336,0.8882588,7,0.3504320986525162
2,12,2:12,"Unquestionably, it is they who are the corrupters, but they perceive [it] not.",1.8281398e-06,1.8947408e-11,1.8824477e-06,0.0,1.149945e-06,2.349231e-07,0.015749006,0.98424864,7,0.08106871196534565
2,13,2:13,"And when it is said to them, ""Believe as the people have believed,"" they say, ""Should we believe as the foolish have believed?"" Unquestionably, it is they who are the foolish, but they know [it] not.",6.1013577e-12,5.960748e-12,0.005016585,0.0,1.4902754e-06,2.709545e-07,0.82621294,0.16876706,6,0.48458966055550057
2,14,2:14,"And when they meet those who believe, they say, ""We believe""; but when they are alone with their evil ones, they say, ""Indeed, we are with you; we were only mockers.""",9.394484e-17,1.3200204e-11,0.024210839,0.0,1.7363392e-11,1.299558e-07,0.9281569,0.04763018,6,0.30428776690041504
2,15,2:15,[But] Allah mocks them and prolongs them in their transgression [while] they wander blindly.,2.7152226e-24,3.120493e-11,0.9988181,0.0,1.4921282e-08,2.7085384e-10,0.00085984234,0.00032324443,2,0.009848847862527647
2,16,2:16,"Those are the ones who have purchased error [in exchange] for guidance, so their transaction has brought no profit, nor were they guided.",1.1623072e-05,8.259677e-15,2.7308167e-07,0.0,0.012751306,1.6015444e-11,0.034731794,0.95250463,7,0.2188104034670811
2,17,2:17,"Their example is that of one who kindled a fire, but when it illuminated what was around him, Allah took away their light and left them in darkness [so] they could not see.",1.8464153e-24,3.5249e-10,0.9981631,0.0,3.0519266e-06,7.462523e-11,9.182169e-05,0.0017389446,2,0.013777602407527772
2,18,2:18,"Deaf, dumb and blind - so they will not return [to the right path].",0.0013617511,2.5572865e-13,3.74416e-09,0.0,9.038829e-09,9.723835e-11,0.005568168,0.9930737,7,0.044791301639663314
2,19,2:19,"Or [it is] like a rainstorm from the sky within which is darkness, thunder and lightning. They put their fingers in their ears against the thunderclaps in dread of death. But Allah is encompassing of the disbelievers.",2.5368229e-14,1.4621799e-08,0.93918014,0.0,7.8326035e-10,9.2777036e-10,0.054339584,0.006481971,2,0.24985702766887607
