surah,verse,verse_id,translation,topic_probability_00,topic_probability_01,topic_probability_02,topic_probability_03,topic_probability_04,topic_probability_05,topic_probability_06,topic_probability_07,topic_probability_08,topic_probability_09,topic_probability_10,topic_probability_11,topic_probability_12,topic_probability_13,topic_probability_14,topic_probability_15,topic_probability_16,topic_probability_17,topic_probability_18,topic_probability_19,topic_probability_20,topic_probability_21,topic_probability_22,topic_probability_23,topic_probability_24,topic_probability_25,topic_probability_26,topic_probability_27,topic_probability_28,topic_probability_29,topic_probability_30,topic_probability_31,topic_probability_32,topic_probability_33,topic_probability_34,topic_probability_35,topic_probability_36,topic_probability_37,topic_probability_38,topic_probability_39,topic_probability_40,topic_probability_41,topic_probability_42,topic_probability_43,topic_probability_44,topic_probability_45,topic_probability_46,topic_probability_47,topic_probability_48,topic_probability_49,topic_probability_50,topic_probability_51,topic_probability_52,topic_probability_53,topic_probability_54,topic_probability_55,topic_probability_56,topic_probability_57,topic_probability_58,topic_probability_59,topic_probability_60,topic_probability_61,topic_probability_62,topic_probability_63,topic_probability_64,topic_probability_65,topic_probability_66,topic_probability_67,topic_probability_68,topic_probability_69,topic_probability_70,topic_probability_71,topic_probability_72,topic_probability_73,topic_probability_74,topic_probability_75,topic_probability_76,topic_probability_77,topic_probability_78,topic_probability_79,topic_probability_80,topic_probability_81,topic_probability_82,topic_probability_83,topic_probability_84,topic_probability_85,topic_probability_86,topic_probability_87,topic_probability_88,topic_probability_89,topic_probability_90,topic_probability_91,topic_probability_92,topic_probability_93,topic_probability_94,topic_probability_95,topic_probability_96,topic_probability_97,topic_probability_98,topic_probability_99,topic_probability_100,topic_probability_101,topic_probability_102,topic_probability_103,topic_probability_104,topic_probability_105,topic_probability_106,topic_probability_107,topic_probability_108,topic_probability_109,topic_probability_110,topic_probability_111,topic_probability_112,topic_probability_113,topic_probability_114,topic_probability_115,topic_probability_116,topic_probability_117,topic_probability_118,topic_probability_119,topic_probability_120,topic_probability_121,topic_probability_122,topic_probability_123,topic_probability_124,topic_probability_125,topic_probability_126,topic_probability_127,topic_probability_128,topic_probability_129,topic_probability_130,topic_probability_131,topic_probability_132,topic_probability_133,topic_probability_134,topic_probability_135,topic_probability_136,topic_probability_137,topic_probability_138,topic_probability_139,dominant_topic,membership_entropy,normalized_membership_entropy
1,1,1:1,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",0.006889252,0.008164849,0.0074898405,0.007900869,0.0072460594,0.006986936,0.008182524,0.0077760727,0.008310937,0.0062823943,0.0060169934,0.0063010636,0.009045458,0.006671053,0.007540857,0.008490671,0.009220302,0.0072287717,0.006702839,0.008171175,0.0037638447,0.008527661,0.0060734996,0.009279367,0.009499505,0.0075542065,0.008845368,0.0066832406,0.009254874,0.008133642,0.005780344,0.0063454765,0.008360193,0.006672069,0.0069465707,0.006466823,0.007825166,0.0057392865,0.0066679665,0.0065446403,0.006523438,0.007718379,0.006547439,0.005904281,0.009804597,0.006932576,0.00745626,0.0069118226,0.008310844,0.0045874403,0.00511602,0.010758532,0.007767472,0.0065440773,0.0067409594,0.0061651613,0.0050626616,0.0071358867,0.007031594,0.006777971,0.006632586,0.0070472443,0.0065886104,0.008617506,0.0074962103,0.008756553,0.008743777,0.007583333,0.0059989817,0.006369287,0.00819036,0.006752641,0.0096386885,0.007063309,0.0069918614,0.0061551705,0.0072971666,0.0074590202,0.008078163,0.007362432,0.00825056,0.0075657247,0.004954076,0.0064895274,0.007119185,0.0062812474,0.009005744,0.0059439875,0.0063382024,0.007621759,0.007829718,0.0073744943,0.00846228,0.0066431495,0.0065312656,0.007325532,0.0031434936,0.0075772908,0.007414952,0.007983367,0.0077053276,0.0064992425,0.0067461813,0.007423291,0.00832981,0.009742165,0.006796934,0.0059632123,0.006113647,0.007146912,0.0069468515,0.0062269755,0.0051629907,0.008015226,0.003676676,0.008124842,0.0056807646,0.0070448755,0.006545459,0.0031724845,0.00971446,0.006775155,0.008273099,0.007386132,0.0073752333,0.0059200516,0.0071964967,0.005150803,0.007674837,0.010200207,0.007569772,0.0072200196,0.007030799,0.008144432,0.0062442273,0.0049984795,0.005272497,0.0075523714,0.0065442347,0.0066342754,51,4.9244244212761235,0.9965157330578183
1,2,1:2,"[All] praise is [due] to Allah, Lord of the worlds -",0.0069439956,0.009017093,0.0074355886,0.008011045,0.007893245,0.0070975516,0.0078964885,0.0077062575,0.0076143276,0.006220838,0.0064871744,0.005882236,0.009745091,0.0062597534,0.0072907126,0.008519145,0.008891822,0.007702586,0.0063510924,0.008237102,0.0037857664,0.0076922113,0.0061531775,0.009670727,0.009766714,0.0065528927,0.009931432,0.0067355,0.009689719,0.008612092,0.0061895964,0.007141169,0.008445243,0.00662944,0.00550152,0.005938216,0.0077004735,0.005133758,0.005941738,0.0067174733,0.0057831286,0.008658679,0.0062878486,0.0061188685,0.009521833,0.0068071666,0.0076068826,0.0066915993,0.008344956,0.0043291114,0.0051914128,0.009715676,0.007888342,0.0062849666,0.0064538047,0.005839417,0.005678392,0.006528313,0.006486161,0.0064516966,0.0069294716,0.0068274895,0.006169182,0.0074861413,0.007995799,0.008929655,0.007596111,0.007418833,0.006241419,0.005752031,0.008158106,0.005946205,0.0106704,0.007454956,0.007575412,0.006093004,0.0067280163,0.0072349845,0.0074213683,0.0075406386,0.008710948,0.006928085,0.004545677,0.007270188,0.006942319,0.006492185,0.009691736,0.0062167794,0.0059585045,0.0074271257,0.00862788,0.006776816,0.008841772,0.0069477935,0.0067507406,0.006530301,0.0024509353,0.008153213,0.0076146782,0.0074063325,0.008921146,0.00605152,0.006712751,0.008344594,0.008721571,0.010543363,0.0064992947,0.0049637286,0.005955245,0.007189646,0.0073534646,0.006453416,0.0048591313,0.008243796,0.0033456692,0.008851376,0.0060696793,0.00838073,0.007110852,0.0032397164,0.009611719,0.006962371,0.0073916377,0.007924994,0.006989712,0.0067483117,0.006356431,0.0055863755,0.0076641035,0.012616129,0.007609498,0.008158808,0.0071064346,0.008071642,0.004875606,0.0053047366,0.0042999326,0.006766237,0.0065794205,0.007311741,129,4.918709507526987,0.9953592524264013
1,3,1:3,"The Entirely Merciful, the Especially Merciful,",0.0060924925,0.0065229665,0.007798412,0.008886667,0.0064174132,0.0061347154,0.00898499,0.0073788725,0.008468987,0.0064390646,0.0052799913,0.00662963,0.008143854,0.007950584,0.006695031,0.007932969,0.011118968,0.0078834845,0.007096537,0.0064880946,0.004431624,0.01008087,0.0064143017,0.008707392,0.00678652,0.009768871,0.0070577958,0.0065946034,0.0081085935,0.008110067,0.005290698,0.00501299,0.0090961205,0.0071386094,0.008871673,0.0068726493,0.007819303,0.0053947377,0.007315948,0.0063892496,0.006904238,0.00640419,0.007477049,0.006329969,0.010986422,0.0058021834,0.007384906,0.006388589,0.0090666665,0.0045262612,0.0055629006,0.013528341,0.0066418964,0.006788456,0.006700663,0.006933797,0.004569371,0.0070867087,0.008345836,0.0084748715,0.0058020856,0.007447476,0.0065822643,0.008934536,0.006247386,0.008302136,0.011142133,0.007879339,0.0052250912,0.007549753,0.0075045736,0.007656332,0.00932187,0.006613406,0.0056254715,0.004580185,0.009498959,0.00730664,0.008943515,0.0064081023,0.006329524,0.00819183,0.0056440667,0.0056730392,0.007624635,0.006442273,0.007639444,0.0062665422,0.006573622,0.008821676,0.008020481,0.0082535,0.008668856,0.004543481,0.0070736865,0.0076615163,0.005216253,0.0076660966,0.0076956954,0.007896817,0.005156216,0.0054335133,0.0059502716,0.0062388065,0.009107528,0.009383298,0.00783515,0.0074024755,0.006435075,0.0076177223,0.006061886,0.0063812137,0.00587278,0.0071738665,0.0032608719,0.0075454926,0.0046006497,0.0077946745,0.006578283,0.0042235977,0.009840575,0.005726609,0.010751764,0.0065666973,0.007678715,0.005852621,0.0069590877,0.0049596177,0.0075208265,0.009046362,0.007352164,0.0062622,0.00602592,0.008037748,0.0069719763,0.0059385616,0.006282971,0.0072562215,0.005549956,0.005382122,51,4.91822321694476,0.9952608457549671
1,4,1:4,Sovereign of the Day of Recompense.,0.006078841,0.00511181,0.009308565,0.009584186,0.006838326,0.004301444,0.010164785,0.008609165,0.0156248985,0.0036979802,0.007610506,0.00679372,0.006760465,0.0076955454,0.0050884583,0.009341108,0.010702352,0.008687959,0.009594227,0.006450506,0.0046972446,0.00625183,0.009862681,0.0071862335,0.0067662103,0.0077328384,0.0055350806,0.0033487505,0.006657251,0.009645603,0.0052034263,0.0072641503,0.009893882,0.007198464,0.006995012,0.008603883,0.00861773,0.005561641,0.0061737266,0.0086423205,0.0079655945,0.00659431,0.008040224,0.008319854,0.008838278,0.003533296,0.005409797,0.0066096745,0.010173644,0.0048249727,0.008045391,0.010523956,0.004802617,0.008956351,0.0050250837,0.007897053,0.0055798083,0.007151496,0.007092601,0.011492228,0.0049437564,0.007696303,0.009045823,0.008254399,0.006201578,0.0069349147,0.009133238,0.00763269,0.008259198,0.0059337374,0.0068161534,0.007984358,0.00933597,0.005727599,0.0045281462,0.0026297576,0.011316712,0.007793613,0.007852691,0.0072867787,0.0054666842,0.006409448,0.012340909,0.0054787993,0.008727314,0.008080169,0.008478746,0.008197356,0.00557855,0.0072487383,0.0064404905,0.0068285214,0.008439719,0.0022310033,0.006734586,0.00452414,0.0026661782,0.010062781,0.005482561,0.0051779775,0.005898283,0.0031421941,0.003961472,0.0063264044,0.011085833,0.011607392,0.01461917,0.0056081284,0.0051523433,0.01206608,0.007155401,0.007381586,0.0061702672,0.0061264504,0.003667715,0.008362103,0.0048682,0.010200099,0.0069614123,0.0023739892,0.009942423,0.004970679,0.010111378,0.006723138,0.0075173015,0.006834168,0.0024949815,0.0059732134,0.0062353495,0.0082765445,0.005208287,0.0043759937,0.0074628247,0.005304884,0.0051767766,0.005379945,0.0056499834,0.007690302,0.009596993,0.005679246,8,4.88838005113009,0.9892217269231127
1,5,1:5,It is You we worship and You we ask for help.,0.006722698,0.0069766073,0.00844309,0.008545393,0.0069905207,0.0046579246,0.009683856,0.008373023,0.007753605,0.005175957,0.006821061,0.007912593,0.008104906,0.0064028148,0.0061983834,0.009967303,0.011039616,0.009011663,0.008456723,0.0073786844,0.0056998148,0.005320084,0.0074802698,0.009705738,0.008809096,0.0071734795,0.007956265,0.0066595343,0.007323399,0.009492745,0.006592767,0.00787387,0.0077390927,0.0081694275,0.007811093,0.0067348336,0.008723257,0.0057910956,0.0070232432,0.008586826,0.0065198364,0.0067827725,0.007149325,0.006410806,0.0075134295,0.005372747,0.0071584857,0.005632693,0.010962253,0.005771099,0.0051833214,0.009735268,0.0063558193,0.007867343,0.0072054584,0.005309296,0.006183625,0.0059795696,0.006285248,0.006574886,0.0063562347,0.0076487,0.008794105,0.008506703,0.004173883,0.007862028,0.007879055,0.009663109,0.0058781435,0.006211748,0.006680888,0.0061878935,0.008161377,0.0043771896,0.006168474,0.0052116825,0.007946585,0.0077373153,0.009284019,0.006340904,0.0076693376,0.00851939,0.0036820462,0.00685677,0.0070607057,0.0068387096,0.0073311795,0.0084011555,0.0068824147,0.010013963,0.009090999,0.008626153,0.0073410603,0.007025067,0.0055969264,0.0035829735,0.002792325,0.009033403,0.0046390225,0.003754418,0.0067673223,0.004970277,0.004497144,0.011704509,0.009892144,0.012666311,0.0077296426,0.0061752857,0.0068308143,0.00792306,0.006022204,0.0076353922,0.0061180815,0.0062607434,0.0046516326,0.00901568,0.008639099,0.009210747,0.008670659,0.005510269,0.006083451,0.003499349,0.007874072,0.0061896513,0.008172867,0.008960682,0.0034140241,0.0055734357,0.0064562815,0.01048042,0.005172988,0.0056684325,0.007785006,0.0069155353,0.00759925,0.007443152,0.006148227,0.0075611416,0.0056531243,0.0054142484,105,4.912061410736561,0.9940139311299817
1,6,1:6,Guide us to the straight path -,0.006771368,0.0087682735,0.0108163655,0.012066918,0.004569573,0.0020432903,0.0113197435,0.007537757,0.00976144,0.0047803866,0.0049650045,0.0065062274,0.008344036,0.008212334,0.006253918,0.008527487,0.009480197,0.012330025,0.009421217,0.0025666868,0.00813433,0.0015221809,0.012118203,0.008547661,0.0027231774,0.0070096445,0.0065002884,0.0045861755,0.0073442827,0.011680689,0.007262078,0.006135455,0.009921305,0.00745803,0.002884581,0.0073207566,0.016838377,0.0066228122,0.003033188,0.006718815,0.004868448,0.009528958,0.0077861673,0.008879881,0.006217253,0.0025634023,0.006370648,0.0033289252,0.012795395,0.006938741,0.008789974,0.008672742,0.010496507,0.008501102,0.00830686,0.008099124,0.0063332324,0.0069925003,0.010288423,0.0077906772,0.0035395194,0.009014857,0.010995649,0.008336634,0.0036029934,0.008205803,0.006486386,0.012731839,0.0068423464,0.01111515,0.0071043563,0.0060788607,0.0070295595,0.0073013357,0.0047887196,0.0019885448,0.01055285,0.009335118,0.010340366,0.0059629944,0.007105881,0.009930227,0.00398114,0.0063988226,0.00888678,0.009721682,0.007161504,0.012906177,0.009093174,0.0077294325,0.005052079,0.009039696,0.008046343,0.0016093401,0.007829257,0.0023289807,0.0017800325,0.008657965,0.006145081,0.0018046978,0.00449768,0.005138558,0.0032563752,0.0026674762,0.006243201,0.0098985955,0.007451962,0.0069592693,0.009674058,0.011057595,0.006974223,0.0074616526,0.008142294,0.003053647,0.0074630054,0.008785794,0.00447825,0.010288013,0.0071183434,0.008380524,0.005604953,0.004367004,0.008068324,0.0043787225,0.008002136,0.008691845,0.0,0.0082211895,0.0044722054,0.0074156346,0.0069096093,0.0025612374,0.007824674,0.00704085,0.010811857,0.0041699545,0.009057596,0.0074557364,0.0029301182,0.0035103753,36,4.852103917449002,0.9818808206861265
1,7,1:7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",0.0059585897,0.0069192173,0.007669296,0.00917656,0.008021031,0.006640013,0.008355275,0.0077591273,0.007580151,0.005785113,0.006769478,0.006908706,0.0076507768,0.008869596,0.0076278034,0.008280907,0.01089619,0.008112644,0.007542202,0.006472678,0.006219227,0.0069866446,0.0065069627,0.0074990285,0.005714409,0.0078524165,0.006777138,0.005774393,0.007833551,0.008249557,0.0068427464,0.00566641,0.009028109,0.009506548,0.007680803,0.0075627235,0.008718557,0.0059839073,0.007639767,0.0067707333,0.0064972704,0.006870788,0.007946364,0.0067015397,0.00809916,0.006379265,0.006648283,0.006724741,0.009914172,0.007571551,0.004644332,0.008218856,0.007580421,0.008649097,0.0068508345,0.008312358,0.004572432,0.0066406946,0.007295331,0.009220887,0.006367128,0.0072762244,0.008613773,0.0096621085,0.0042287596,0.0067504793,0.007677242,0.008871145,0.0051352596,0.00714721,0.008470338,0.005396274,0.007526328,0.006917502,0.00699498,0.005279366,0.0089915,0.00888538,0.009179865,0.0065100268,0.007531114,0.008152959,0.004983155,0.006217129,0.008009075,0.006983623,0.0068017235,0.009769243,0.0076514794,0.008744729,0.007591679,0.007865462,0.008272805,0.004906596,0.0073088426,0.006247438,0.0043593054,0.008421672,0.0081814565,0.0053607128,0.0045835855,0.0057644127,0.00532232,0.0063641234,0.006733101,0.008253193,0.0069187153,0.008679818,0.00844915,0.00961014,0.005537092,0.0073153903,0.0065714875,0.0061510266,0.004465457,0.007363515,0.0055985283,0.008120981,0.007580086,0.0045833034,0.0070144013,0.005753374,0.009596159,0.0053968737,0.006700742,0.0075326273,0.005223544,0.0063358215,0.0081591215,0.0070949798,0.0058676684,0.0049136025,0.0073002353,0.0066925157,0.008067916,0.0077767326,0.0067994744,0.0062744105,0.0053635286,0.0057823537,16,4.923999039977066,0.9964296521028081
2,1,2:1,"Alif, Lam, Meem.",0.009111295,0.0132000055,0.007569163,0.00674278,0.009797251,0.0077668484,0.006815153,0.0067891995,0.006628572,0.009221063,0.007860512,0.0046835225,0.013187353,0.005153269,0.010918331,0.0067687584,0.007237646,0.0061808997,0.006531016,0.009594528,0.0038200081,0.0054043685,0.006352663,0.01173521,0.008836282,0.0044736112,0.009713098,0.007545108,0.0110731395,0.0066897296,0.007202989,0.0065254606,0.006137161,0.006936131,0.0,0.005067398,0.0069393134,0.005791236,0.0,0.007516369,0.0062531075,0.011887613,0.0063114986,0.0072177206,0.010082053,0.007627226,0.009171543,0.00971537,0.008791743,0.004770505,0.0,0.0065251375,0.009035755,0.0052723903,0.0045137294,0.008196379,0.026445422,0.005517282,0.0054315105,0.005429884,0.0054158033,0.007038426,0.0064373855,0.0070771775,0.010661396,0.008195164,0.004312073,0.007902297,0.0062477337,0.0053791814,0.009491402,0.007872238,0.0125434,0.008923051,0.008786049,0.00451297,0.0073293317,0.005957927,0.005546128,0.005397299,0.011048322,0.0060253344,0.0036063187,0.009057951,0.007873644,0.0062573073,0.011893181,0.006416255,0.0059907013,0.0063901865,0.008745313,0.004708805,0.0073357625,0.006993452,0.007966894,0.0067333104,0.0,0.0070446236,0.009020568,0.009481089,0.0077251163,0.0059870374,0.006542123,0.008341161,0.008243324,0.010442529,0.0071385964,0.0,0.006528695,0.006877893,0.010673523,0.0065383767,0.005129898,0.008363929,0.0,0.0074572037,0.0,0.005309224,0.008256478,0.0,0.009200333,0.0062290533,0.0062918314,0.007837327,0.0067450106,0.0057293708,0.005652742,0.005438782,0.011039097,0.012751412,0.007915912,0.007858028,0.0064123254,0.00838432,0.004167272,0.0055934303,0.003921513,0.0086455615,0.006099777,0.0092040105,56,4.832130014747673,0.9778388643903931
2,2,2:2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",0.0061578527,0.010220522,0.006765602,0.009070264,0.007709261,0.006201062,0.006808856,0.006102374,0.008239872,0.005650228,0.00514709,0.0074837483,0.009282785,0.006940332,0.00792353,0.008973948,0.009217705,0.007421767,0.0061910185,0.0058763544,0.005996456,0.0049640182,0.007920465,0.008997119,0.0070671462,0.006684716,0.008581988,0.008039057,0.009425185,0.01085773,0.007269487,0.0058563966,0.008870068,0.008466046,0.0037926654,0.0054857745,0.010362908,0.005504386,0.008721592,0.007256311,0.005641465,0.007731218,0.008594189,0.0067238426,0.0072246804,0.0085803885,0.0063457154,0.005705571,0.009435496,0.00821103,0.005681735,0.008191266,0.0094830645,0.007898055,0.009001092,0.0071157906,0.0057163155,0.0046823323,0.007440422,0.007449869,0.005286243,0.006932542,0.011947154,0.008592757,0.0055800728,0.0067693335,0.0055696024,0.00995919,0.008121343,0.0070971693,0.008716491,0.0035915086,0.008505147,0.0074680434,0.0072267307,0.0056890054,0.007948435,0.0105168065,0.0098622395,0.0053048544,0.008072735,0.0082165385,0.0051037977,0.006299904,0.0077089495,0.010527705,0.008623667,0.009103601,0.007883896,0.008320142,0.006423123,0.0069004395,0.0071303,0.0042544836,0.0064653424,0.007087717,0.003685956,0.007351869,0.0070111873,0.005057572,0.007412255,0.007221605,0.004758639,0.004617253,0.0061137564,0.006861646,0.006469306,0.0062912935,0.009503672,0.009747398,0.005738815,0.007210418,0.0067809247,0.007880187,0.0067772563,0.0060699573,0.006328674,0.0066639204,0.006661235,0.0040899287,0.00770943,0.004875793,0.007642805,0.0053956592,0.004608116,0.0063445694,0.0030292568,0.007386437,0.006717429,0.008333635,0.0063463524,0.005752175,0.007135092,0.0070371213,0.009358942,0.0062029213,0.0059154606,0.005055732,0.0076347315,0.008049426,62,4.91512139825654,0.994633155925766
2,3,2:3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",0.0070089623,0.007108267,0.0072961547,0.009640566,0.010789834,0.0053347303,0.008839827,0.006895701,0.0074291434,0.005279686,0.0058530364,0.008488088,0.008014853,0.007929006,0.00697681,0.008548838,0.010410128,0.009284624,0.0069780047,0.0064071612,0.006809195,0.00455562,0.0074652242,0.009714484,0.0065882877,0.0058472897,0.0077688848,0.0066003767,0.008133746,0.009231369,0.008005309,0.007103679,0.008715174,0.010836975,0.006800349,0.0069639804,0.008693156,0.00561399,0.008002755,0.0069863177,0.0063309628,0.008125235,0.009207099,0.005910899,0.007306441,0.0069364337,0.0067215436,0.0053943377,0.010446628,0.0069242762,0.005501565,0.0077855242,0.006117012,0.0078289695,0.008110932,0.0070073125,0.005518856,0.0058457726,0.0062899003,0.007989922,0.0053547444,0.0068066586,0.01114127,0.009355701,0.003339412,0.007415985,0.0063620456,0.00947157,0.00680271,0.00681134,0.006568162,0.003670078,0.008486944,0.007227403,0.0067176414,0.0058915047,0.008118893,0.008120054,0.00836867,0.0061709965,0.0067165247,0.0070044557,0.0034554636,0.00631646,0.0065694433,0.008549691,0.006633121,0.008584735,0.008442135,0.01086415,0.006728129,0.0060858675,0.008154628,0.00518598,0.0071418495,0.0047797146,0.0023514163,0.0081932405,0.007943777,0.006039126,0.006497834,0.006619352,0.0040249,0.0055522528,0.008168796,0.009100991,0.006587876,0.00712769,0.009198485,0.0108331265,0.006004739,0.008037027,0.00664583,0.0071884682,0.0069606868,0.00786787,0.008281119,0.008685763,0.00819784,0.0056971284,0.006499038,0.0059236134,0.0073332293,0.005595726,0.0075212666,0.008778914,0.0018765995,0.008677457,0.005506129,0.007779158,0.005566284,0.005338395,0.0070542395,0.0052654846,0.008194159,0.0056431,0.007147233,0.0059053544,0.006453926,0.006472061,62,4.91454687930101,0.9945168951957503
