surah,verse,verse_id,translation,component_probability_00,component_probability_01,component_probability_02,component_probability_03,component_probability_04,component_probability_05,component_probability_06,component_probability_07,component_probability_08,component_probability_09,component_probability_10,component_probability_11,dominant_membership,membership_entropy
1,1,1:1,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",0.016215866,0.17100284,2.747673e-06,1.4458451e-08,0.0011973666,0.35483772,0.00028772338,0.0,0.45644528,9.092759e-06,4.504172e-09,2.9028268e-08,8,1.105014168041905
1,2,1:2,"[All] praise is [due] to Allah, Lord of the worlds -",0.00029765614,0.007906631,5.234305e-10,8.654531e-11,0.00015391619,0.9915217,2.703537e-06,0.0,0.000117858675,1.4384302e-07,5.9710176e-10,9.067183e-09,5,0.05158211756346131
1,3,1:3,"The Entirely Merciful, the Especially Merciful,",0.026771162,0.02838362,5.444942e-07,6.0326674e-12,1.7939376e-05,2.7407072e-09,3.9307455e-05,0.0,0.94478935,9.814733e-10,3.434468e-11,7.761572e-11,8,0.2522843682715294
1,4,1:4,Sovereign of the Day of Recompense.,0.33291227,0.48811644,2.634848e-09,1.6479386e-11,0.17230459,1.139998e-09,0.0066399155,0.0,2.6657697e-05,2.061594e-09,5.2320544e-08,7.432837e-10,1,1.0528148755650335
1,5,1:5,It is You we worship and You we ask for help.,0.08888447,0.9109619,9.9208954e-08,7.8799844e-10,8.2907995e-08,0.00011763453,3.5761732e-05,0.0,1.4724797e-07,1.9038492e-10,6.4243515e-08,1.1834855e-09,1,0.30152544225952604
1,6,1:6,Guide us to the straight path -,0.990758,0.0073955026,3.97345e-08,1.4002483e-10,2.2788222e-06,5.8792304e-10,0.001842263,0.0,3.5824121e-13,2.2382637e-11,5.733363e-10,3.043387e-10,0,0.05711863415157939
1,7,1:7,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",0.15323801,0.84652907,8.845915e-05,2.0662908e-05,2.2611573e-06,2.0738942e-06,0.00011681532,0.0,3.6435488e-06,1.8490082e-10,1.0272711e-06,5.2308685e-11,1,0.4307015824651812
2,1,2:1,"Alif, Lam, Meem.",0.99271774,0.005814769,1.0874261e-06,5.867043e-10,9.750343e-06,0.00027971488,0.0011801169,0.0,4.192858e-10,9.881722e-09,7.598983e-09,1.34559325e-11,0,0.04755920152133743
2,2,2:2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",5.5637676e-05,6.466849e-05,3.864269e-07,3.4066545e-08,1.1437631e-06,0.9998779,8.289756e-08,0.0,8.480221e-09,1.2014552e-06,9.692879e-10,5.046637e-13,5,0.0013307808798658604
2,3,2:3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",0.10763395,0.8923343,7.028455e-14,1.9420192e-12,2.3427316e-09,1.7173727e-05,1.8052233e-05,0.0,1.0149834e-10,5.824139e-10,1.2233967e-12,2.372402e-15,1,0.34195357787689973
2,4,2:4,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].",0.0001226088,0.0016431558,2.9448835e-10,4.3446392e-11,7.957293e-08,0.9982316,1.0621022e-06,0.0,3.3274632e-06,7.659053e-08,7.124651e-10,4.3837243e-13,5,0.013464777721512968
2,5,2:5,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",0.0063976375,0.99351317,1.3137623e-09,2.5434768e-09,1.6560517e-08,2.7617964e-06,8.769578e-05,0.0,1.80642e-07,3.7267064e-08,2.5749203e-10,8.361101e-12,1,0.039643896904021786
2,6,2:6,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe.",0.0047860923,0.9178126,1.5519873e-09,2.1588253e-10,7.6619465e-08,0.07739994,1.2474347e-06,0.0,1.5848086e-09,2.968674e-08,3.224482e-08,6.6164375e-07,1,0.30235835729692384
2,7,2:7,"Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment.",0.0010290534,0.0018659496,1.5137148e-06,1.626507e-08,4.1461985e-07,0.9970821,7.265655e-07,0.0,4.9631232e-08,2.014264e-05,2.1028157e-10,1.7846482e-12,5,0.021973776917760778
2,8,2:8,"And of the people are some who say, ""We believe in Allah and the Last Day,"" but they are not believers.",0.001496881,0.0026615255,1.6564866e-09,9.9425884e-11,0.012845923,0.98299533,4.1483025e-07,0.0,4.236192e-07,2.6005376e-09,6.8094946e-11,1.6468057e-13,5,0.09832824694180776
2,9,2:9,"They [think to] deceive Allah and those who believe, but they deceive not except themselves and perceive [it] not.",0.14481741,0.012869566,2.7883036e-06,1.1283817e-08,4.804888e-07,0.84222573,1.7273069e-05,0.0,2.4767353e-06,6.584568e-05,4.9770964e-08,2.3058906e-10,5,0.4813631212060529
2,10,2:10,"In their hearts is disease, so Allah has increased their disease; and for them is a painful punishment because they [habitually] used to lie.",0.061938796,0.004570511,8.7093995e-06,3.2563563e-11,2.3464008e-07,0.93345463,2.8143686e-05,0.0,2.4852045e-07,2.4116584e-06,2.402416e-10,4.0044395e-11,5,0.26163133462702504
2,11,2:11,"And when it is said to them, ""Do not cause corruption on the earth,"" they say, ""We are but reformers.""",0.4743311,0.52561784,3.008038e-07,5.1857065e-12,3.5042717e-07,9.2073435e-07,4.1769843e-05,0.0,6.761703e-06,3.72938e-08,9.5146625e-08,4.1788706e-10,1,0.6923734159424275
2,12,2:12,"Unquestionably, it is they who are the corrupters, but they perceive [it] not.",0.79556215,0.20442173,4.4739648e-09,1.3883674e-08,1.7909544e-07,8.364663e-07,1.2784065e-05,0.0,1.901922e-06,9.560692e-07,1.839226e-07,3.215645e-11,0,0.5066839369967058
2,13,2:13,"And when it is said to them, ""Believe as the people have believed,"" they say, ""Should we believe as the foolish have believed?"" Unquestionably, it is they who are the foolish, but they know [it] not.",0.023353074,0.9742449,3.7477237e-06,1.7846782e-09,1.4670637e-07,0.0022896568,0.000105243584,0.0,7.2682326e-07,1.2979286e-06,1.07142036e-07,5.3814726e-12,1,0.1281210198685166
